no_of_pts,velocity,x_velocity,y_velocity,avg_pressure,avg_x,avg_y,pen_up,pen_down,pen_ratio,std_dev_x,std_dev_y,acceleration,avg_velocity,avg_acceleration,std_dev_vel,std_dev_acc,sign_width,sign_height,width_height_ratio,pts_width_ratio,max_pressure,var_pressure,range_pressure,forgery
6.3191153238546605,822.7825942138707,735.8255891530965,894.552351831527,610.555224256488,787.6120097048474,946.4889007293854,750.0,86.47450110864744,213.70604147880974,550.3575828571423,440.9046197838143,886.8251849664941,921.8168104232308,916.0619216501946,922.0733544643379,916.3288707867725,373.72767428461685,417.2130004184684,264.9572731411967,11.984528589860087,776.4423076923077,79.60285620306733,715.4861944777912,0
7.898894154818326,853.3607430576851,757.8063101635502,930.5033125085722,576.1424021616876,785.1874241325336,953.7001486526402,748.768472906404,88.69179600886918,224.52660054102796,552.5915971382499,447.78216573429586,932.2403862254681,941.383870851237,950.747426167369,941.7894972683706,951.1613314154773,373.15152679085844,388.3386804296276,286.09372087754815,13.331224104903614,734.375,72.81422199444302,650.6602641056422,0
15.797788309636651,920.5483285428359,851.0354379275226,975.8439916849169,562.6755124074383,880.1060551411838,1000.0,751.231527093596,92.01773835920177,209.58392374082186,647.4729868688395,487.87974487974503,942.0674737135926,951.3004041363439,907.0194031211943,952.3618983169472,908.0151143320732,364.6053389667755,425.44287906263077,252.98243568564789,21.364855775177084,742.7884615384615,74.44345756650658,708.2833133253301,0
3.1595576619273302,875.5444728225351,800.0749766529403,924.1955972284983,587.2951368029563,870.1479743073592,994.9958950903244,751.231527093596,83.14855875831486,205.46180600283398,604.1520021433109,458.5199797376502,946.03847053234,1000.0,1000.0,999.9999999999999,1000.0,370.6548876512387,408.2856744315804,269.172765251627,10.134839883076666,776.4423076923077,72.3588940617917,746.6986794717888,0
20.537124802527646,788.2185931357974,739.1233866678905,844.7139667852282,507.24322722706836,797.7804915294781,901.578210492313,753.6945812807882,93.12638580931264,200.48091373609859,594.4784321664353,445.43563570198404,762.7970009617449,798.0610608744126,713.4594892890461,799.2094564353504,714.495104590937,265.7000192049165,413.58627423629514,191.52619333609618,53.603602026822344,770.4326923076923,64.46596905003315,769.5078031212485,0
3.1595576619273302,774.2982413417168,719.7010856367921,845.1287542833469,491.74082286478335,821.1876572574595,952.746217752396,751.231527093596,83.14855875831486,205.46180600283398,567.3432042935208,437.50794759041304,812.2609030365476,894.4602709839944,861.0482075738589,894.4292991702866,861.0425176164063,320.0499327827924,409.1226112428512,232.64510088544,21.327111717754143,766.8269230769231,52.92814468770697,689.0756302521008,0
17.377567140600316,796.1652949436085,790.8953482971453,825.4509093369949,531.2027743124737,815.9371444714545,843.0920915039073,753.6945812807882,90.9090909090909,199.67939084260095,600.9524289821356,408.844945928651,819.4042636215361,823.6965365189377,782.2040878373821,824.685907372071,783.1548652233171,348.08911081236795,396.9870274794253,261.1417745897073,26.482276812181915,764.4230769230769,68.1648365664524,763.5054021608644,0
9.47867298578199,592.2248185060897,603.1674590878089,594.8825065989445,536.087762187425,745.2946672267493,726.8095317280851,751.231527093596,87.58314855875831,207.5228648718279,525.9144332787081,335.3840365545148,570.3227594603591,670.5547111751317,581.2172082845256,670.859686417444,581.5359744258537,320.43403111196466,293.90431022457807,330.4917734416271,26.72002498393797,778.8461538461538,65.00711776498298,687.875150060024,0
20.537124802527646,771.3500132638746,788.7018144734699,750.8039758322002,563.7852928206859,976.2214888370637,922.9971283806669,753.6945812807882,93.12638580931264,200.48091373609859,737.5555933519207,456.79647577513094,657.8234938584244,782.5569618605236,617.3222892386459,783.6781611959383,618.2135785163908,428.55771077395815,461.15218301018274,271.7245472746552,11.991398167057469,764.4230769230769,77.46673412014852,554.6218487394958,0
6.3191153238546605,779.9733241016476,788.8702390574779,780.6621525648288,594.8944812638007,982.8275362112556,965.2556056722185,748.768472906404,87.58314855875831,223.80522993688007,698.9450314612922,450.3537762967151,733.3211184677581,878.2546412586823,760.4168729069402,878.4855928659507,760.6316955948486,434.7993086230075,428.79062630771375,298.69436147768374,0.9844132205165774,772.8365384615385,76.03363848591985,579.8319327731092,0
